co_municipio,,no_municipio,,,populacao,,populacao,
355120,",'",SARUTAIA,,",",3623,,"3,623","INSERT INTO public.populacao VALUES (355120,'SARUTAIA',3623);"
350750,",'",BOTUCATU,,",",149718,,"149,718","INSERT INTO public.populacao VALUES (350750,'BOTUCATU',149718);"
353900,",'",PIRANGI,,",",11524,,"11,524","INSERT INTO public.populacao VALUES (353900,'PIRANGI',11524);"
354790,",'",SANTO ANTONIO DA ALEGRIA,,",",7000,,0,"INSERT INTO public.populacao VALUES (354790,'SANTO ANTONIO DA ALEGRIA',7000);"
351700,",'",GETULINA,,",",11485,,"11,485","INSERT INTO public.populacao VALUES (351700,'GETULINA',11485);"
353270,",'",NIPOA,,",",5381,,"5,381","INSERT INTO public.populacao VALUES (353270,'NIPOA',5381);"
353550,",'",PARAGUACU PAULISTA,,",",46180,,"46,18","INSERT INTO public.populacao VALUES (353550,'PARAGUACU PAULISTA',46180);"
353040,",'",MIRASSOLANDIA,,",",4966,,0,"INSERT INTO public.populacao VALUES (353040,'MIRASSOLANDIA',4966);"
350040,",'",AGUAS DA PRATA,,",",8262,,"8,262","INSERT INTO public.populacao VALUES (350040,'AGUAS DA PRATA',8262);"
354830,",'",SANTO EXPEDITO,,",",3159,,"3,159","INSERT INTO public.populacao VALUES (354830,'SANTO EXPEDITO',3159);"
351920,",'",IACRI,,",",6269,,"6,269","INSERT INTO public.populacao VALUES (351920,'IACRI',6269);"
355520,",'",TURIUBA,,",",2024,,"2,024","INSERT INTO public.populacao VALUES (355520,'TURIUBA',2024);"
353830,",'",PIQUEROBI,,",",3706,,"3,706","INSERT INTO public.populacao VALUES (353830,'PIQUEROBI',3706);"
350870,",'",CACONDE,,",",19031,,"19,031","INSERT INTO public.populacao VALUES (350870,'CACONDE',19031);"
352850,",'",MAIRIPORA,,",",103645,,"103,645","INSERT INTO public.populacao VALUES (352850,'MAIRIPORA',103645);"
351550,",'",FERNANDOPOLIS,,",",69680,,"69,68","INSERT INTO public.populacao VALUES (351550,'FERNANDOPOLIS',69680);"
351990,",'",IEPE,,",",8228,,0,"INSERT INTO public.populacao VALUES (351990,'IEPE',8228);"
351410,",'",DOIS CORREGOS,,",",27704,,"27,704","INSERT INTO public.populacao VALUES (351410,'DOIS CORREGOS',27704);"
352890,",'",MARIAPOLIS,,",",4098,,"4,098","INSERT INTO public.populacao VALUES (352890,'MARIAPOLIS',4098);"
