co_municipio,no_municipio,populacao
355120,SARUTAIA,3623
350750,BOTUCATU,149718
353900,PIRANGI,11524
354790,SANTO ANTONIO DA ALEGRIA,7000
351700,GETULINA,11485
353270,NIPOA,5381
353550,PARAGUACU PAULISTA,46180
353040,MIRASSOLANDIA,4966
350040,AGUAS DA PRATA,8262
354830,SANTO EXPEDITO,3159
351920,IACRI,6269
355520,TURIUBA,2024
353830,PIQUEROBI,3706
350870,CACONDE,19031
352850,MAIRIPORA,103645
351550,FERNANDOPOLIS,69680
351990,IEPE,8228
351410,DOIS CORREGOS,27704
352890,MARIAPOLIS,4098
354430,ROSEIRA,10888
351385,DIRCE REIS,1805
351400,DOBRADA,9088
350430,AVAI,5467
351720,GUAICARA,12416
350400,ASSIS,105768
351907,HORTOLANDIA,237570
351010,CANDIDO RODRIGUES,2805
355385,TAQUARIVAI,5968
354170,QUATA,14309
352380,ITOBI,7862
351260,CORONEL MACEDO,4591
355270,TABATINGA,16787
352780,LUPERCIO,4608
353340,NOVA ODESSA,61716
353190,MORRO AGUDO,33598
352560,JOAO RAMALHO,4577
350420,AURIFLAMA,15316
354075,POTIM,25603
350730,BORACEIA,4913
353930,PIRASSUNUNGA,77330
352060,INDIANA,4873
351650,GABRIEL MONTEIRO,2776
352150,IRAPUA,8101
351240,CORDEIROPOLIS,25116
350330,ARARAS,136739
351885,GUATAPARA,7760
350350,AREIAS,3906
355430,TEODORO SAMPAIO,23395
351340,CRUZEIRO,82895
351160,CESARIO LANGE,18595
355480,TREMEMBE,48228
352500,JANDIRA,127734
353950,PITANGUEIRAS,40430
351420,DOLCINOPOLIS,2108
354000,POMPEIA,22326
351940,IBIRA,12639
352950,MENDONCA,5638
351960,IBITINGA,61150
#N/A,SAO JOAO DO PAU D ALHO,2100
353010,MIRANDOPOLIS,29844
354540,SALTO GRANDE,9396
354720,SANTANA DA PONTE PENSA,1448
350540,BARRA DO TURVO,7606
351050,CARAGUATATUBA,125194
353920,PIRAPOZINHO,27974
352020,IGARATA,9631
353740,PEREIRA BARRETO,25685
351320,CRISTAIS PAULISTA,8803
353140,MONTE APRAZIVEL,25651
352070,INDIAPORA,3876
352200,ITAJU,3937
353780,PIEDADE,55731
352190,ITAJOBI,15331
350335,ARCO-IRIS,1755
354880,SAO CAETANO DO SUL,162763
350610,BEBEDOURO,77612
354025,PONTALINDA,4719
354890,SAO CARLOS,256915
351810,GUARANTA,6685
354050,PORANGABA,10205
352370,ITIRAPUA,6587
355260,TABAPUA,12561
355240,SUMARE,289875
353050,MOCOCA,69072
351519,ESPIRITO SANTO DO TURVO,4926
351510,EMBU-GUACU,70402
355360,TAPIRATIBA,12940
352010,IGARAPAVA,30791
350315,ARAPEI,2452
350520,BARIRI,35844
354330,RIBEIRAO PIRES,125238
353370,OCAUCU,4294
351970,IBIUNA,80062
355090,SAO SIMAO,15446
355300,TAGUAI,14415
353660,PAULO DE FARIA,8973
350275,ARACARIGUAMA,23343
352215,ITAOCA,3332
351470,ECHAPORA,6026
354425,ROSANA,15929
350210,ANDRADINA,57245
353940,PIRATININGA,13890
352120,IPORANGA,4180
351000,CANDIDO MOTA,31410
354760,SANTA ROSA DE VITERBO,26960
354400,RIO DAS PEDRAS,36233
350950,CAMPINAS,1223237
352960,MERIDIANO,3813
353820,PINHALZINHO,15564
353750,PEREIRAS,8875
355140,SERRA AZUL,15292
353710,PEDREIRA,48992
354165,QUADRA,3902
351310,CRAVINHOS,35858
351820,GUARARAPES,33257
351270,CORUMBATAI,4072
#N/A,APARECIDA D OESTE,4100
353470,OURINHOS,115139
353580,PARANAPANEMA,20588
350980,CAMPOS NOVOS PAULISTA,5028
354850,SANTOS,433991
355230,SUD MENNUCCI,7738
354010,PONGAI,3385
350800,BURI,20050
351518,ESPIRITO SANTO DO PINHAL,44607
354260,REGISTRO,56463
354440,RUBIACEA,3195
355465,TORRE DE PEDRA,2432
352340,ITATIBA,124254
351440,DRACENA,47287
353240,NAZARE PAULISTA,18866
353570,PARAISO,6536
350770,BRAUNA,5795
353625,PARISI,2177
352660,LAVRINHAS,7361
352760,LUIS ANTONIO,15000
351880,GUARULHOS,1404694
355180,SETE BARRAS,12731
352730,LOUVEIRA,51000
355390,TARABAI,7609
355250,SUZANO,303397
353430,ORLANDIA,44682
352410,ITUVERAVA,42259
353490,PACAEMBU,14326
353530,PALMITAL,22322
353215,NANTES,3215
352750,LUCIANOPOLIS,2412
354105,PRATANIA,5371
355640,VARGEM GRANDE DO SUL,43368
353480,OURO VERDE,8676
353286,NOVA CASTILHO,1290
353284,NOVA CANAA PAULISTA,1824
355600,URUPES,13965
351515,ENGENHEIRO COELHO,21712
350640,BILAC,8197
